"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1969","Гость может добавить товар с промо 'newYear2019'","tests","Fri Mar 06 08:58:59 UTC 2026","failed","Fri Mar 06 08:59:01 UTC 2026","","test_product_page","",""
"","1240","Гость может перейти на страницу логина со страницы товара","tests","Fri Mar 06 08:59:02 UTC 2026","passed","Fri Mar 06 08:59:03 UTC 2026","","test_product_page","",""
"","1928","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3","tests","Fri Mar 06 08:58:45 UTC 2026","failed","Fri Mar 06 08:58:47 UTC 2026","","test_product_page","",""
"","913","Гость видит ссылку на логин на главной странице","tests","Fri Mar 06 08:58:37 UTC 2026","passed","Fri Mar 06 08:58:38 UTC 2026","TestLoginFromMainPage","test_main_page","",""
"","1594","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4","tests","Fri Mar 06 08:58:47 UTC 2026","failed","Fri Mar 06 08:58:48 UTC 2026","","test_product_page","",""
"","1829","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7","tests","Fri Mar 06 08:58:53 UTC 2026","passed","Fri Mar 06 08:58:55 UTC 2026","","test_product_page","",""
"","0","Гость не видит сообщение об успехе после добавления товара","tests","Fri Mar 06 08:59:01 UTC 2026","skipped","Fri Mar 06 08:59:01 UTC 2026","","test_product_page","",""
"","1769","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6","tests","Fri Mar 06 08:58:51 UTC 2026","failed","Fri Mar 06 08:58:53 UTC 2026","","test_product_page","",""
"","1879","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2","tests","Fri Mar 06 08:58:42 UTC 2026","failed","Fri Mar 06 08:58:44 UTC 2026","","test_product_page","",""
"","0","Гость должен видеть ссылку на логин на странице товара","tests","Fri Mar 06 08:59:01 UTC 2026","skipped","Fri Mar 06 08:59:01 UTC 2026","","test_product_page","",""
"","0","Гость не видит товар в корзине при переходе с главной страницы","tests","Fri Mar 06 08:58:38 UTC 2026","skipped","Fri Mar 06 08:58:38 UTC 2026","","test_main_page","",""
"","1634","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5","tests","Fri Mar 06 08:58:49 UTC 2026","failed","Fri Mar 06 08:58:51 UTC 2026","","test_product_page","",""
"","1694","Гость может перейти на страницу логина с главной","tests","Fri Mar 06 08:58:35 UTC 2026","passed","Fri Mar 06 08:58:36 UTC 2026","TestLoginFromMainPage","test_main_page","",""
"","10776","Авторизованный пользователь не видит сообщение об успехе после добавления товара","tests","Fri Mar 06 08:59:28 UTC 2026","passed","Fri Mar 06 08:59:39 UTC 2026","TestUserAddToBasketFromProductPage","test_product_page","",""
"","1872","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0","tests","Fri Mar 06 08:58:38 UTC 2026","failed","Fri Mar 06 08:58:40 UTC 2026","","test_product_page","",""
"","1583","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8","tests","Fri Mar 06 08:58:55 UTC 2026","failed","Fri Mar 06 08:58:57 UTC 2026","","test_product_page","",""
"","11215","Гость не видит товар в корзине при переходе со страницы товара","tests","Fri Mar 06 08:59:03 UTC 2026","passed","Fri Mar 06 08:59:14 UTC 2026","","test_product_page","",""
"","2732","Авторизованный пользователь может добавить товар в корзину","tests","Fri Mar 06 08:59:51 UTC 2026","failed","Fri Mar 06 08:59:53 UTC 2026","TestUserAddToBasketFromProductPage","test_product_page","",""
"","1832","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1","tests","Fri Mar 06 08:58:40 UTC 2026","failed","Fri Mar 06 08:58:42 UTC 2026","","test_product_page","",""
"","0","Сообщение об успехе исчезает после добавления товара","tests","Fri Mar 06 08:59:01 UTC 2026","skipped","Fri Mar 06 08:59:01 UTC 2026","","test_product_page","",""
"","1650","Гость может добавить товар в корзину с промо: http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9","tests","Fri Mar 06 08:58:57 UTC 2026","failed","Fri Mar 06 08:58:59 UTC 2026","","test_product_page","",""
